2023-09-23 10:26:54.384 [info] Log level: Info
2023-09-23 10:26:54.384 [info] Validating found git in: "git"
2023-09-23 10:26:54.395 [info] Using git "2.42.0" from "git"
2023-09-23 10:26:54.405 [info] > git rev-parse --show-toplevel [4ms]
2023-09-23 10:26:54.410 [info] > git rev-parse --show-toplevel [2ms]
2023-09-23 10:26:54.415 [info] > git rev-parse --show-toplevel [1ms]
2023-09-23 10:26:54.440 [info] > git rev-parse --show-toplevel [5ms]
2023-09-23 10:26:54.468 [info] > git rev-parse --show-toplevel [1ms]
2023-09-23 10:26:54.553 [info] > git rev-parse --show-toplevel [1ms]
2023-09-23 10:26:54.771 [info] > git rev-parse --show-toplevel [1ms]
